id,gen,sp,ssp,en,lat,lng,alt,q,type,rec,rmk,bird-seen
547547,Anas,poecilorhyncha,,Indian Spot-billed Duck,30.2864,77.9744,,B,call,Andrew Spencer,Archived at the Macaulay Library as ML174930191,yes
468784,Anas,poecilorhyncha,poecilorhyncha,Indian Spot-billed Duck,30.286,77.9741,600,B,call,Rajgopal Patil,,yes
460208,Anas,poecilorhyncha,,Indian Spot-billed Duck,27.1593,77.5232,170,B,call,Peter Boesman,Calls of a couple in flight.,unknown
424143,Anas,poecilorhyncha,,Indian Spot-billed Duck,12.836,80.0342,40,B,call,Sreekumar Chirukandoth,Two birds were seen in the pond,yes
195759,Anas,poecilorhyncha,poecilorhyncha,Indian Spot-billed Duck,18.5344,73.7853,600,B,"alarm call, call",Rajgopal Patil,,yes
166170,Anas,poecilorhyncha,poecilorhyncha,Indian Spot-billed Duck,21.1429,78.8647,340,B,flight call,Frank Lambert,Small group in flight,yes
124019,Anas,poecilorhyncha,,Indian Spot-billed Duck,18.5937,75.3052,550,B,call,pradnyavant mane,,yes
574746,Anas,poecilorhyncha,,Indian Spot-billed Duck,12.869,80.1851,0,C,"adult, call",Sreekumar Chirukandoth,"A small flock circling above the water body, one of them calling < https://ebird.org/india/checklist/S60773585>",yes
574745,Anas,poecilorhyncha,,Indian Spot-billed Duck,12.869,80.1851,0,C,"adult, call",Sreekumar Chirukandoth,"A small flock circling above the water body, one of them calling < https://ebird.org/india/checklist/S60773585>",yes
472573,Anas,poecilorhyncha,,Indian Spot-billed Duck,27.1593,77.5232,,C,Call,Peter Boesman,Calls of a pair when taking off,unknown
467964,Anas,poecilorhyncha,poecilorhyncha,Indian Spot-billed Duck,30.286,77.9741,600,C,call,Rajgopal Patil,,yes
114233,Anas,poecilorhyncha,,Indian Spot-billed Duck,,,546,C,call,Sharad Apte,Resident duck calls when disturbed and took on wings,yes
95804,Anas,poecilorhyncha,,Indian Spot-billed Duck,21.575,71.322,?,C,call,vir joshi,,unknown
472572,Anas,poecilorhyncha,,Indian Spot-billed Duck,27.1593,77.5232,,D,Call,Peter Boesman,,unknown
452274,Anas,poecilorhyncha,,Indian Spot-billed Duck,12.9912,80.2363,10,D,flight call,Vivek Puliyeri,,yes
358064,Anas,poecilorhyncha,,Indian Spot-billed Duck,21.0576,75.8398,190,D,call,Lakshmikant Rajaram Neve,,yes
122883,Anas,platyrhynchos,,Mallard,21.599,71.2055,110,B,"call, flight call",vir joshi,more then 300 other duck 1 and only mallard,yes
95807,Anas,acuta,,Northern Pintail,21.575,71.323,?,A,call,vir joshi,,unknown
304572,Anas,acuta,,Northern Pintail,15.3414,73.9419,10,C,call,Mandar Bhagat,,yes
89777,Anas,crecca,,Eurasian Teal,21.577,71.3148,?,C,call,vir joshi,,unknown
369047,Anas,albogularis,,Andaman Teal,11.5156,92.7116,,B,call,Peter Boesman,,unknown
369045,Anas,albogularis,,Andaman Teal,11.63,92.67,,C,call,Peter Boesman,,unknown
369044,Anas,albogularis,,Andaman Teal,11.63,92.67,,C,call,Peter Boesman,,unknown
369043,Anas,albogularis,,Andaman Teal,11.63,92.67,,C,call,Peter Boesman,,unknown
369046,Anas,albogularis,,Andaman Teal,11.5156,92.7116,,D,call,Peter Boesman,Call of three birds in flight.,unknown
100080,Aythya,ferina,,Common Pochard,21.5778,71.3148,?,C,flight call,vir joshi,,unknown
157361,Mergus,merganser,orientalis,Common Merganser,32.9112,78.3159,4500,C,"call, female",Rajgopal Patil,,yes
335628,Megapodius,nicobariensis,,Nicobar Megapode,,,30,A,call,Sudhir Garg,"It was one of toughest journey of mine for search of elusive Nicobar Megapode.. from Jaipur to Delhi,  Delhi to Port Blair via Calcutta and after that 2 days in ship to Great Nicobar Islands..  but the real ordeal was yet to start .. some taxi drop out outside dense forest of Galathea Bay , walking around mountains in rain, slippery muddy path, galloping big rocks and miles of walking to a wild place, no electricity, no moblie, no sign of life and only sea water along with slippery rocks with loads of our luggage on our shoulders carrying food for two days, some cloths, camera equipment..  thanks to three local forest porters without them it was impossible to find a way out and manage shelter at night. some wooden sleepers to sleep and only fish and rice to eat. full of mosquitoes ,  Sea shore full of crocodiles and passage to out temp shelter was through waist deep waters, the story is quite long and needs time to explain .. the actual place of likely presence of Nicobar Megapode was further away and through dense forest ..  the place we were staying was some local point of stay..and bird destination was further away..the bird.. elusive Megapod ..  very very rare and shy.. found here only at Galathia in entire world. .comes quite in the middle of dense thick forest at his mount. .a place where he had laid last year.
 I was very tired and no strength left to walk further but my friend Mr Sangha was quite ready and I had to join.  One old forester John was acquitted with the place and only he could have led the location in that dense forest. he led the way and to my surprise there was not any track etc.. only thick forest with all wet muddy path and all kind of hurdle in walking. .John was ahead cutting all wood and branches coming in the way and making some temporary passage for us to follow. . Most of the time it was raining. .we had to walk for an hour to reach the expected destination.. it was quite dehydrating and we forgot to bring any water.. the humidity above 100  and all my towels and clothing were wet due to sweating. . we couldn't manage to click pictures but he was whole night around us.. manage some recording for the first time ..",no
298956,Megapodius,nicobariensis,,Nicobar Megapode,,,30,A,call,Garima Bhatia,"Bird was seen briefly at nest (observers were in a hide), after which there was a heavy downpour for ~ 30min. As soon as the rain stopped, the bird started calling loudly near the nest, and was seen and photographed subsequently while working on the nest.",yes
569023,Lerwa,lerwa,,Snow Partridge,27.4928,92.1074,3800,A,call,Jelle Scharringa,"8 birds together, a few of them calling.",yes
569021,Lerwa,lerwa,,Snow Partridge,27.4928,92.1074,3800,A,call,Jelle Scharringa,"8 birds together, a few of them calling.",yes
569020,Lerwa,lerwa,,Snow Partridge,27.4928,92.1074,3800,A,call,Jelle Scharringa,"8 birds together, a few of them calling.",yes
426652,Lerwa,lerwa,,Snow Partridge,27.492778,92.107358,,A,call,Peter Boesman,,unknown
426650,Lerwa,lerwa,,Snow Partridge,27.492778,92.107358,,A,call,Peter Boesman,,unknown
426651,Lerwa,lerwa,,Snow Partridge,27.492778,92.107358,,B,call,Peter Boesman,,unknown
189386,Lerwa,lerwa,,Snow Partridge,27.503,92.104,4200,B,song,Ding Li Yong,,yes
138648,Lerwa,lerwa,,Snow Partridge,30.4897,79.223,3500,C,call,vir joshi,"it's high attitude bird very camouflage  hardly to seen in summer . after 3:00 hour trek in low oxygen[4:00 k.m]
got it  this bird seen in 6 flock",yes
547809,Alectoris,chukar,,Chukar Partridge,34.197,75.9303,,A,call,Andrew Spencer,"Calls from a bird on top of dry, open hill along the road. While calling the bird would ascend a large boulder at the top of the hill, and then scramble down the side between bouts of calls. Archived at the Macaulay Library as ML172471251",yes
201499,Alectoris,chukar,,Chukar Partridge,31.4511,77.741,2900,A,call,Lakshminarasimha Ranganathan,An individual calling from atop a cliff. Probably in response to other individuals which were calling downhill.,yes
543388,Francolinus,francolinus,,Black Francolin,29.5442,78.8791,600,no score,"adult, call, male",Daniel Danckwerts,An adult male Black Francolin responding to playback from dense Elephant Grass.,yes
443774,Francolinus,francolinus,,Black Francolin,30.6694,78.3753,1300,no score,"call, male",chiefredearth,,unknown
569064,Francolinus,francolinus,,Black Francolin,23.5435,68.6973,30,A,song,Jelle Scharringa,Close to Kutch Bustard Sanctuary.,yes
426552,Francolinus,francolinus,,Black Francolin,26.672638,91.004331,,A,song,Peter Boesman,,unknown
426551,Francolinus,francolinus,,Black Francolin,26.672638,91.004331,,A,song,Peter Boesman,,unknown
362925,Francolinus,francolinus,melanonotus,Black Francolin,26.7047,91.0373,70,A,song,Paul J Willoughby,,yes
329108,Francolinus,francolinus,,Black Francolin,29.3975,79.5674,1900,A,call,Mandar Bhagat,,no
322345,Francolinus,francolinus,,Black Francolin,,,400,A,call,KALYAN SINGH SAJWAN,,yes
149595,Francolinus,francolinus,,Black Francolin,23.5435,68.6973,80,A,"male, song",Frank Lambert,,yes
149590,Francolinus,francolinus,,Black Francolin,23.5435,68.6973,80,A,"male, song",Frank Lambert,,yes
508290,Francolinus,francolinus,,Black Francolin,29.5334,78.9334,600,B,call,Jean Roché,,unknown
507748,Francolinus,francolinus,,Black Francolin,29.5334,78.9334,600,B,call,Jean Roché,,unknown
472716,Francolinus,francolinus,,Black Francolin,28.464,76.893,,B,Song,Peter Boesman,,unknown
362923,Francolinus,francolinus,melanonotus,Black Francolin,26.7047,91.0373,70,B,song,Paul J Willoughby,,yes
149774,Francolinus,francolinus,,Black Francolin,31.52,77.8,2200,B,"call, male",Lakshminarasimha R,,yes
149596,Francolinus,francolinus,,Black Francolin,23.5435,68.6973,80,B,"male, song",Frank Lambert,,yes
149594,Francolinus,francolinus,,Black Francolin,23.5435,68.6973,80,B,"male, song",Frank Lambert,Same bird(s) as on XC149590,yes
114320,Francolinus,francolinus,,Black Francolin,31.52,77.8,2200,B,"call, male",Lakshminarasimha R,A male calling from atop a rock in an apple orchard.,yes
103538,Francolinus,francolinus,,Black Francolin,29.407,79.145,2000,B,call,vir joshi,,unknown
571752,Francolinus,pictus,,Painted Francolin,21.7177,79.3275,460,A,"adult, male, song",Rajgopal Patil,,no
488676,Francolinus,pictus,,Painted Francolin,17.4855,78.2678,550,A,call,Paul Bourdin,,yes
488209,Francolinus,pictus,,Painted Francolin,17.4855,78.2678,550,A,song,Paul Bourdin,,no
428819,Francolinus,pictus,,Painted Francolin,26.2104,74.7982,400,A,"call, male",Saurabh Sawant,,yes
338333,Francolinus,pictus,,Painted Francolin,19.4257,73.2816,60,A,"call, male, song",Yogesh Patel,,yes
571151,Francolinus,pictus,pictus,Painted Francolin,18.7221,73.9031,600,B,"adult, male, song",Rajgopal Patil,,no
570434,Francolinus,pictus,pictus,Painted Francolin,17.2976,74.5842,700,B,"adult, male, song",Rajgopal Patil,,no
495692,Francolinus,pictus,,Painted Francolin,16.676,74.2618,600,B,call,Kaustubh Machnurkar,,yes
488212,Francolinus,pictus,,Painted Francolin,17.4855,78.2678,550,B,song,Paul Bourdin,,no
428896,Francolinus,pictus,,Painted Francolin,18.5011,73.7508,650,B,call,Lakshmi Ravishankar,"I have edited out calls of other birds, retaining only the call of the bird in question",no
386442,Francolinus,pictus,,Painted Francolin,19.8096,75.5083,550,B,"call, song",Ameya Deshpande,,unknown
333011,Francolinus,pictus,,Painted Francolin,21.2193,79.7281,260,B,call,Swapnil Wankhede,"while bird-watching i heard a very loud voice of a bird call. the was coming from about 100-150 feet. i moved to the direction of the sound but i have not seen any bird, the voice was coming from a tree. I recorded the voice of bird with the help of my mobile.

The bird identified as ""Painted Francolin"" (ID confirmed by Mr. Nitin marathe Sir from this audio).",no
105864,Francolinus,pictus,,Painted Francolin,21.502,72.964,?,B,song,vir joshi,,unknown
570433,Francolinus,pictus,pictus,Painted Francolin,17.2976,74.5842,700,C,"adult, male, song",Rajgopal Patil,,no
385986,Francolinus,pictus,,Painted Francolin,15.3724,75.0686,650,C,call,Pavankumar Vadavi,,no
332636,Francolinus,pictus,,Painted Francolin,26.2104,74.7982,200,C,"call, male",Subhajit Chaudhuri,Bird seen perched on top of a leafless tree.,yes
329558,Francolinus,pictus,,Painted Francolin,17.4573,78.3588,600,D,call,Ajinkya Supekar,Call comming from a thicket in undergrowth. Two birds were alternating their calls.,no
198614,Francolinus,pictus,,Painted Francolin,15.7876,74.5187,750,D,call,Madhushri Mudke ,,no
110392,Francolinus,pictus,,Painted Francolin,15.6798,74.3478,780,D,?,RAM MALLYA,,unknown
472717,Francolinus,pondicerianus,,Grey Francolin,27.1593,77.5232,,A,Call,Peter Boesman,,unknown
459199,Francolinus,pondicerianus,,Grey Francolin,12.9912,80.2363,10,A,call,Vivek Puliyeri,,no
441379,Francolinus,pondicerianus,,Grey Francolin,28.3967,79.4319,180,A,call,Sreekumar Chirukandoth,An individual calling from the fields,yes
351857,Francolinus,pondicerianus,,Grey Francolin,24.6227,73.6597,600,A,call,Oscar Campbell,Calling from dense scrub on edge of field on bank; two cuts of same bird taken c1min apart.,no
337047,Francolinus,pondicerianus,,Grey Francolin,27.1453,77.547,180,A,call,Craig Robertson,"Recorded with Sony Minidisc and fed to Mac G4 set for aiff format, level normalizer applied. Recorded in the hotel yard, Bharatpur Bird Park, where they came out of nearby forest.",yes
167566,Francolinus,pondicerianus,interpositus,Grey Francolin,27.8056,74.4305,300,A,"call, male",Rajgopal Patil,,yes
149685,Francolinus,pondicerianus,,Grey Francolin,21.168,70.601,160,A,"call, song",Frank Lambert,,yes
149684,Francolinus,pondicerianus,,Grey Francolin,21.168,70.601,160,A,"call, song",Frank Lambert,,yes
94589,Francolinus,pondicerianus,,Grey Francolin,15.332,76.475,450,A,Call,Ramit Singal,,unknown
575657,Francolinus,pondicerianus,,Grey Francolin,23.598,87.2214,90,B,"adult, call, sex uncertain",Sagar Adhurya,,no
474849,Francolinus,pondicerianus,,Grey Francolin,11.0395,76.8674,550,B,"call, song",Nantha N,"I was not able to spot this bird but I am hearing this often in the morning and looking familiar. Common sounds that I could hear and spot around the same place in the same time (around morning 7 to 8 am) are Peacock, Cuckoo, Shikra, Common Crow, Red vented Bulbull. 
I am unable to recognize this bird song.",no
469359,Francolinus,pondicerianus,,Grey Francolin,12.9912,80.2363,10,B,call,Vivek Puliyeri,,yes
459288,Francolinus,pondicerianus,,Grey Francolin,12.9912,80.2363,10,B,call,Vivek Puliyeri,,no
459287,Francolinus,pondicerianus,,Grey Francolin,12.9912,80.2363,10,B,call,Vivek Puliyeri,,no
451799,Francolinus,pondicerianus,interpositus,Grey Francolin,22.3052,70.7329,120,B,call,Hemanya Radadia,,no
406118,Francolinus,pondicerianus,,Grey Francolin,11.0477,76.8642,550,B,call,Dilip KG,,yes
369212,Francolinus,pondicerianus,,Grey Francolin,11.5515,76.6501,,B,song,Peter Boesman,,unknown
334051,Francolinus,pondicerianus,,Grey Francolin,21.0413,75.8529,220,B,"call, song",Lakshmikant Rajaram Neve,,yes
332453,Francolinus,pondicerianus,,Grey Francolin,18.3474,74.3677,650,B,call,Abhijeet Avate,,yes
308191,Francolinus,pondicerianus,,Grey Francolin,27.2575,70.892,170,B,"call, song",Mike Nelson,,no
308183,Francolinus,pondicerianus,,Grey Francolin,27.8056,74.4305,300,B,call,Mike Nelson,,no
199108,Francolinus,pondicerianus,,Grey Francolin,12.026,79.8492,30,B,call,Pronoy Baidya,"Was the recording modified significantly? No.
Habitat: Degraded scrub jungle.",yes
194204,Francolinus,pondicerianus,,Grey Francolin,12.026,79.8492,30,B,call,Pronoy Baidya,"Was the recording modified significantly? No
Habitat: Degraded Scrub Forest.",yes
182849,Francolinus,pondicerianus,interpositus,Grey Francolin,26.874,75.8122,440,B,song,Ding Li Yong,,yes
166155,Francolinus,pondicerianus,interpositus,Grey Francolin,23.5606,69.2808,10,B,"flight call, song",Frank Lambert,,no
165833,Francolinus,pondicerianus,interpositus,Grey Francolin,27.8056,74.4305,300,B,"flight call, song",Frank Lambert,Calling from on top of a building. Several birds present.,yes
149584,Francolinus,pondicerianus,interpositus,Grey Francolin,27.2575,70.892,170,B,"call, song",Frank Lambert,Same birds duetting as on XC149582.,yes
149582,Francolinus,pondicerianus,interpositus,Grey Francolin,27.2575,70.892,170,B,"call, song",Frank Lambert,,yes
129278,Francolinus,pondicerianus,,Grey Francolin,26.4823,72.9973,240,B,"call, song",Sudipto Roy,Apologies for traffic noise. A small flock of birds seen on a clear sunny day.,yes
92207,Francolinus,pondicerianus,interpositus,Grey Francolin,26.874,75.8122,440,B,"Duet, song",Yong Ding Li,,unknown
89776,Francolinus,pondicerianus,,Grey Francolin,21.593,71.313,?,B,song,vir joshi,,unknown
37512,Francolinus,pondicerianus,,Grey Francolin,27.1501,77.5001,?,B,song,David Farrow,,unknown
460140,Francolinus,pondicerianus,,Grey Francolin,27.1593,77.5232,170,C,song,Peter Boesman,,unknown
442342,Francolinus,pondicerianus,,Grey Francolin,13.8264,79.95,30,C,call,Vivek Puliyeri,,no
197827,Francolinus,pondicerianus,,Grey Francolin,28.496,77.1823,260,C,song,Rory Nefdt,,yes
74555,Francolinus,pondicerianus,,Grey Francolin,,,?,C,call,Divyaraj Shah,,unknown
73268,Francolinus,pondicerianus,interpositus,Grey Francolin,26.928,75.793,200,C,song,Mike Nelson,A couple of birds in the neighboring yard across the street.,yes
73267,Francolinus,pondicerianus,interpositus,Grey Francolin,26.928,75.793,200,C,song,Mike Nelson,A couple of birds in the neighboring garden across the street.,yes
21668,Francolinus,pondicerianus,,Grey Francolin,28.5473,77.1698,330,C,call,Gopinath Sricandane,"During my one week stay at JNU in February 2008, I heard the Gray Francolins call just before they settled for the day. For a span of 15 minutes different groups in that area called and the calls were reciprocated, after which they all fell silent for the rest of the evening.",unknown
